2016-12-15 15:39:11,207 - __logger__ - DEBUG - The server's logger has been initialized!
2016-12-15 15:39:11,213 - __logger__ - INFO - Enters the main loop
2016-12-16 10:29:22,468 - __logger__ - INFO - [139945855403776, (109.67.62.22:17181)] User gportal get the file: very_important.txt
2016-12-16 10:29:27,303 - __logger__ - INFO - Got connection from: ('37.26.148.189', 52041)
2016-12-16 10:29:41,823 - __logger__ - INFO - [139945855403776, (37.26.148.189:52041)] Authentication success with user giggs!
2016-12-16 10:29:44,088 - __logger__ - INFO - [139946490648320, (109.67.62.22:3119)] Authentication success with user giggs!
2016-12-16 10:29:54,508 - __logger__ - INFO - [139945872189184, (109.67.62.22:5093)] Authentication success with user giggs!
2016-12-16 10:29:59,558 - __logger__ - INFO - Got connection from: ('109.67.62.22', 5693)
2016-12-16 10:29:59,560 - __logger__ - INFO - [139945863796480, (109.67.62.22:5693)] Authentication success with user giggs!
2016-12-16 10:29:59,783 - __logger__ - INFO - [139945863796480, (109.67.62.22:5693)] User giggs has requested DirList
2016-12-16 10:30:33,282 - __logger__ - INFO - Got connection from: ('37.26.148.189', 52033)
2016-12-16 10:30:41,621 - __logger__ - INFO - Got connection from: ('95.35.155.50', 50589)
2016-12-16 10:30:54,106 - __logger__ - INFO - Got connection from: ('37.26.148.219', 30337)
2016-12-16 10:30:54,107 - __logger__ - DEBUG - [139945847011072, (37.26.148.219:30337)] Packet with invalid prefix or suffix has been received!
2016-12-16 10:30:59,041 - __logger__ - INFO - [139945855403776, (37.26.148.189:52033)] Authentication success with user gportal!
2016-12-16 10:31:21,173 - __logger__ - INFO - Got connection from: ('109.67.62.22', 17270)
2016-12-16 10:31:21,175 - __logger__ - INFO - [139945863796480, (109.67.62.22:17270)] Authentication success with user gportal!
2016-12-16 10:31:21,502 - __logger__ - INFO - [139945863796480, (109.67.62.22:17270)] User gportal has requested DirList
2016-12-16 10:31:21,791 - __logger__ - INFO - [139945863796480, (109.67.62.22:17270)] User gportal get the file: very_important.txt
2016-12-16 10:31:22,000 - __logger__ - INFO - [139945855403776, (37.26.148.189:52033)] User gportal has requested DirList
2016-12-16 10:31:23,911 - __logger__ - INFO - Got connection from: ('212.150.215.238', 53708)
2016-12-16 10:31:37,880 - __logger__ - INFO - Got connection from: ('212.150.215.238', 53709)
2016-12-16 10:31:46,118 - __logger__ - DEBUG - [139945872189184, (109.67.62.22:5093)] Packet with invalid json structure has been received!
2016-12-16 10:31:54,765 - __logger__ - INFO - Got connection from: ('109.67.62.22', 17271)
2016-12-16 10:31:54,770 - __logger__ - INFO - [139945863796480, (109.67.62.22:17271)] Authentication success with user gportal!
2016-12-16 10:31:55,105 - __logger__ - INFO - [139945863796480, (109.67.62.22:17271)] User gportal has requested DirList
2016-12-16 10:31:55,378 - __logger__ - INFO - [139945863796480, (109.67.62.22:17271)] User gportal get the file: ONLY_FOR_MACHSHILIM.txt
2016-12-16 10:32:12,842 - __logger__ - INFO - Got connection from: ('109.67.62.22', 62449)
2016-12-16 10:32:24,499 - __logger__ - DEBUG - [139945855403776, (37.26.148.189:52033)] Packet with invalid json structure has been received!
2016-12-16 10:32:26,455 - __logger__ - INFO - Got connection from: ('109.67.62.22', 3134)
2016-12-16 10:32:26,958 - __logger__ - INFO - Got connection from: ('212.150.215.238', 53719)
2016-12-16 10:32:46,441 - __logger__ - INFO - Got connection from: ('109.67.62.22', 57010)
2016-12-16 10:32:51,483 - __logger__ - INFO - Got connection from: ('109.67.62.22', 57892)
2016-12-16 10:32:55,559 - __logger__ - INFO - [139945855403776, (37.26.148.189:52033)] Authentication success with user gportal!
2016-12-16 10:32:58,162 - __logger__ - INFO - Got connection from: ('109.67.62.22', 5698)
2016-12-16 10:32:58,163 - __logger__ - INFO - [139945838618368, (109.67.62.22:5698)] Authentication success with user giggs!
2016-12-16 10:32:58,393 - __logger__ - INFO - [139945838618368, (109.67.62.22:5698)] User giggs has requested DirList
2016-12-16 10:32:58,620 - __logger__ - INFO - [139945838618368, (109.67.62.22:5698)] User giggs get the file: bullshit.txt
2016-12-16 10:32:59,418 - __logger__ - DEBUG - [139945855403776, (37.26.148.189:52033)] Packet with invalid json structure has been received!
2016-12-16 10:33:02,940 - __logger__ - INFO - [139945863796480, (109.67.62.22:3134)] Authentication success with user giggs!
2016-12-16 10:33:07,938 - __logger__ - INFO - [139945855403776, (37.26.148.189:52033)] Authentication success with user gportal!
2016-12-16 10:33:11,875 - __logger__ - INFO - [139945872189184, (109.67.62.22:5093)] Requested user: admin does not exists!
2016-12-16 10:33:23,465 - __logger__ - INFO - [139945872189184, (109.67.62.22:5093)] Authentication success with user giggs!
2016-12-16 10:33:24,742 - __logger__ - INFO - Got connection from: ('37.26.148.219', 30337)
2016-12-16 10:33:24,752 - __logger__ - DEBUG - [139945838618368, (37.26.148.219:30337)] Packet with invalid prefix or suffix has been received!
2016-12-16 10:33:30,485 - __logger__ - INFO - [139945855403776, (37.26.148.189:52033)] User gportal get the file: TOPSECRET.txt
2016-12-16 10:33:40,960 - __logger__ - INFO - Got connection from: ('109.67.62.22', 5726)
2016-12-16 10:33:40,962 - __logger__ - INFO - [139945838618368, (109.67.62.22:5726)] Authentication success with user giggs!
2016-12-16 10:33:41,191 - __logger__ - INFO - [139945838618368, (109.67.62.22:5726)] User giggs has requested DirList
2016-12-16 10:33:41,972 - __logger__ - INFO - [139945838618368, (109.67.62.22:5726)] User giggs get the file: gportal_password.txt
2016-12-16 10:33:54,553 - __logger__ - INFO - Got connection from: ('212.150.215.238', 53724)
2016-12-16 10:33:55,513 - __logger__ - INFO - [139945872189184, (109.67.62.22:5093)] User giggs get the file: gportal_password.txt
2016-12-16 10:33:57,028 - __logger__ - DEBUG - [139945838618368, (212.150.215.238:53724)] Packet with less data than possible minimal has received!
2016-12-16 10:33:57,029 - __logger__ - DEBUG - [139945838618368, (212.150.215.238:53724)] Packet with less data than possible minimal has received!
2016-12-16 10:33:57,060 - __logger__ - INFO - Got connection from: ('46.19.85.140', 7798)
2016-12-16 10:33:58,626 - __logger__ - INFO - [139945847011072, (109.67.62.22:57892)] Authentication success with user gportal!
2016-12-16 10:34:10,056 - __logger__ - INFO - [139945863796480, (109.67.62.22:3134)] User giggs has requested DirList
2016-12-16 10:34:18,867 - __logger__ - INFO - Got connection from: ('212.150.215.238', 53726)
2016-12-16 10:34:18,867 - __logger__ - DEBUG - [139945838618368, (212.150.215.238:53726)] Packet with less data than possible minimal has received!
2016-12-16 10:34:20,717 - __logger__ - INFO - [139945855403776, (37.26.148.189:52033)] User gportal has requested DirList
2016-12-16 10:34:31,640 - __logger__ - INFO - [139945847011072, (109.67.62.22:57892)] User gportal has requested DirList
2016-12-16 10:34:37,217 - __logger__ - INFO - [139945855403776, (37.26.148.189:52033)] User gportal get the file: 356.pdf
2016-12-16 10:35:00,837 - __logger__ - INFO - [139945863796480, (109.67.62.22:3134)] User giggs get the file: gportal_password.txt
2016-12-16 10:35:10,027 - __logger__ - INFO - Got connection from: ('109.67.62.22', 17283)
2016-12-16 10:35:10,029 - __logger__ - INFO - [139945855403776, (109.67.62.22:17283)] Authentication success with user gportal!
2016-12-16 10:35:10,367 - __logger__ - INFO - [139945855403776, (109.67.62.22:17283)] User gportal has requested DirList
2016-12-16 10:35:10,658 - __logger__ - INFO - [139945855403776, (109.67.62.22:17283)] User gportal get the file: ONLY_FOR_MACHSHILIM.txt
2016-12-16 10:35:22,347 - __logger__ - INFO - Got connection from: ('109.67.62.22', 5741)
2016-12-16 10:35:22,349 - __logger__ - INFO - [139945855403776, (109.67.62.22:5741)] Authentication success with user giggs!
2016-12-16 10:35:22,573 - __logger__ - INFO - [139945855403776, (109.67.62.22:5741)] User giggs has requested DirList
2016-12-16 10:35:22,799 - __logger__ - INFO - [139945855403776, (109.67.62.22:5741)] User giggs get the file: gportal_password.txt
2016-12-16 10:35:23,027 - __logger__ - INFO - [139945855403776, (109.67.62.22:5741)] User giggs has logged out
2016-12-16 10:35:23,977 - __logger__ - INFO - [139945830225664, (46.19.85.140:7798)] Authentication success with user giggs!
2016-12-16 10:35:38,848 - __logger__ - INFO - [139945847011072, (109.67.62.22:57892)] User gportal get the file: TOPSECRET.txt
2016-12-16 10:35:43,176 - __logger__ - INFO - Got connection from: ('37.26.148.219', 30343)
2016-12-16 10:35:43,176 - __logger__ - DEBUG - [139945855403776, (37.26.148.219:30343)] Packet with invalid prefix or suffix has been received!
2016-12-16 10:35:43,745 - __logger__ - INFO - Got connection from: ('109.67.62.22', 5742)
2016-12-16 10:35:43,747 - __logger__ - INFO - [139945821832960, (109.67.62.22:5742)] Authentication success with user giggs!
2016-12-16 10:35:43,972 - __logger__ - INFO - [139945821832960, (109.67.62.22:5742)] User giggs has requested DirList
2016-12-16 10:35:44,208 - __logger__ - INFO - [139945821832960, (109.67.62.22:5742)] User giggs has logged out
2016-12-16 10:35:44,976 - __logger__ - INFO - [139946490648320, (109.67.62.22:57010)] Authentication success with user giggs!
2016-12-16 10:35:55,576 - __logger__ - INFO - [139945830225664, (46.19.85.140:7798)] User giggs has requested DirList
2016-12-16 10:35:57,998 - __logger__ - INFO - Got connection from: ('109.67.62.22', 5743)
2016-12-16 10:35:58,000 - __logger__ - INFO - [139945821832960, (109.67.62.22:5743)] Authentication success with user giggs!
2016-12-16 10:35:58,220 - __logger__ - INFO - [139945821832960, (109.67.62.22:5743)] User giggs has requested DirList
2016-12-16 10:35:58,441 - __logger__ - WARNING - [139945821832960, (109.67.62.22:5743)] Packet with non-existing request code: 150 has been received!
2016-12-16 10:36:07,813 - __logger__ - INFO - Got connection from: ('109.67.62.22', 5744)
2016-12-16 10:36:07,815 - __logger__ - INFO - [139945821832960, (109.67.62.22:5744)] Authentication success with user giggs!
2016-12-16 10:36:08,035 - __logger__ - INFO - [139945821832960, (109.67.62.22:5744)] User giggs has requested DirList
2016-12-16 10:36:08,255 - __logger__ - WARNING - [139945821832960, (109.67.62.22:5744)] Packet with non-existing request code: 101 has been received!
2016-12-16 10:36:11,881 - __logger__ - INFO - Got connection from: ('109.67.62.22', 17284)
2016-12-16 10:36:11,883 - __logger__ - INFO - [139945821832960, (109.67.62.22:17284)] Authentication success with user gportal!
2016-12-16 10:36:12,200 - __logger__ - INFO - [139945821832960, (109.67.62.22:17284)] User gportal has requested DirList
2016-12-16 10:36:12,497 - __logger__ - WARNING - [139945821832960, (109.67.62.22:17284)] User gportal tried to get non-existing file: TOP_SECRET.txt
2016-12-16 10:36:15,247 - __logger__ - INFO - [139945863796480, (109.67.62.22:3134)] User giggs has logged out
2016-12-16 10:36:20,006 - __logger__ - INFO - Got connection from: ('109.67.62.22', 5745)
2016-12-16 10:36:20,020 - __logger__ - INFO - [139945821832960, (109.67.62.22:5745)] Authentication success with user giggs!
2016-12-16 10:36:20,251 - __logger__ - INFO - [139945821832960, (109.67.62.22:5745)] User giggs has requested DirList
2016-12-16 10:36:20,482 - __logger__ - INFO - [139945821832960, (109.67.62.22:5745)] User giggs get the file: gportal_password.txt
2016-12-16 10:36:20,705 - __logger__ - INFO - [139945821832960, (109.67.62.22:5745)] User giggs has logged out
2016-12-16 10:36:23,815 - __logger__ - INFO - [139946490648320, (109.67.62.22:57010)] User giggs has requested DirList
2016-12-16 10:36:24,067 - __logger__ - INFO - Got connection from: ('109.67.62.22', 17285)
